common,latin,year,source,pub.year,pub.title
Western Painted Turtle,Chrysemys picta bellii,2004,Physiological and Biochemical Zoology,2004,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,2004,Journal of Chemical Ecology,2004,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,2000,Physiology,2000,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,2013,Conservation Genetics,2013,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,2003,Conservation Biology,2003,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,2006,Proceedings of the National Academy of Sciences,2006,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,1991,Canadian Journal of Zoology,1991,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,1992,"American Journal of Physiology-Regulatory, Integrative and Comparative Physiology",1992,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,2014,Northwestern Naturalist,2014,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,1972,Copeia,1972,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,1989,Canadian Journal of Zoology,1989,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,2013,Amphibia-Reptilia,2013,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,2008,Ecology,2008,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,2014,Conservation Genetics,2014,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,1987,Copeia,1987,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,2005,Biological Conservation,2005,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,2004,Northeastern Naturalist,2004,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,1993,Physiological Zoology,1993,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,2014,PLoS ONE,2014,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,2003,Experimental Gerontology,2003,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,2004,Environmental Pollution,2004,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,1995,Environmental Health Perspectives,1995,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,1995,Ecology,1995,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,1993,Conservation Biology,1993,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,2004,Wildlife Society Bulletin,2004,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,2010,Chelonian Conservation and Biology,2010,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,1971,Journal of Herpetology,1971,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,2006,The American Naturalist,2006,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,2000,Conservation Biology,2000,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,2006,Journal of Wildlife Management,2006,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,2013,Revista Mexicana de Biodiversidad,2013,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,2000,BioScience,2000,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,2013,NeoBiota,2013,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,1988,Physiological Zoology,1988,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,1991,Canadian Journal of Zoology,1991,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,1994,Proceedings of the National Academy of Sciences,1994,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,2010,The Southwestern Naturalist,2010,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,2006,Global Change Biology,2006,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,2001,Animal Behaviour,2001,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,2006,American Journal of Veterinary Research,2006,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,2015,Aquatic Conservation: Marine and Freshwater Ecosystems,2015,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,2002,Journal of Herpetology,2002,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,2001,Journal of Heredity,2001,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,2001,Journal of Experimental Zoology,2001,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,2001,BioScience,2001,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,2012,Biological Conservation,2012,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,1989,Biological Reviews,1989,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,2001,The Southwestern Naturalist,2001,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,1990,Copeia,1990,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,2004,Conservation Biology,2004,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,1988,Proceedings of the National Academy of Sciences,1988,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,2003,Evolution,2003,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,1937,Copeia,1937,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,1995,Biological Conservation,1995,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,1997,Canadian Journal of Zoology,1997,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,2013,Ecology and Evolution,2013,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,1999,Physiological and Biochemical Zoology,1999,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,2008,Journal of Herpetology,2008,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,2000,Journal of Herpetology,2000,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,2005,Journal of Herpetology,2005,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,2010,"Ecotoxicology of Amphibians and Reptiles, Second Edition",2010,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,2010,NA,2010,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Western Painted Turtle,Chrysemys picta bellii,2013,Atmosphere-Ocean,2013,"COSEWIC assessment and status report on the Western Painted Turtle, Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population, Prairie/Western Boreal – Canadian Shield population, in Canada ."
Dense Blazing Star,Liatris spicata,2010,HortScience,1987,"COSEWIC assessment and status report on the Dense Blazing Star, Liatris spicata, in Canada .: CW69-14/158-2010E-PDF Publications - Canada.ca"
Dense Blazing Star,Liatris spicata,2010,Canadian Journal of Botany,1964,"COSEWIC assessment and status report on the Dense Blazing Star, Liatris spicata, in Canada .: CW69-14/158-2010E-PDF Publications - Canada.ca"
Dense Blazing Star,Liatris spicata,2010,Journal of the American Society for Horticultural Science,1991,"COSEWIC assessment and status report on the Dense Blazing Star, Liatris spicata, in Canada .: CW69-14/158-2010E-PDF Publications - Canada.ca"
Dense Blazing Star,Liatris spicata,2010,American Journal of Botany,1949,"COSEWIC assessment and status report on the Dense Blazing Star, Liatris spicata, in Canada .: CW69-14/158-2010E-PDF Publications - Canada.ca"
Dense Blazing Star,Liatris spicata,2010,American Journal of Botany,1967,"COSEWIC assessment and status report on the Dense Blazing Star, Liatris spicata, in Canada .: CW69-14/158-2010E-PDF Publications - Canada.ca"
Dense Blazing Star,Liatris spicata,2010,American Midland Naturalist,1987,"COSEWIC assessment and status report on the Dense Blazing Star, Liatris spicata, in Canada .: CW69-14/158-2010E-PDF Publications - Canada.ca"
Dense Blazing Star,Liatris spicata,2010,Canadian Journal of Botany,1977,"COSEWIC assessment and status report on the Dense Blazing Star, Liatris spicata, in Canada .: CW69-14/158-2010E-PDF Publications - Canada.ca"
Savannah Sparrow,Passerculus sandwichensis,2010,CISM journal,1992,"COSEWIC assessment and status report on the Savannah Sparrow, Passerculus sandwichensis, princeps subspecies, in Canada .: CW69-14/275-2010E-PDF Publications - Canada.ca"
Savannah Sparrow,Passerculus sandwichensis,2010,The Condor,2005,"COSEWIC assessment and status report on the Savannah Sparrow, Passerculus sandwichensis, princeps subspecies, in Canada .: CW69-14/275-2010E-PDF Publications - Canada.ca"
Savannah Sparrow,Passerculus sandwichensis,2010,The Journal of the Torrey Botanical Society,2006,"COSEWIC assessment and status report on the Savannah Sparrow, Passerculus sandwichensis, princeps subspecies, in Canada .: CW69-14/275-2010E-PDF Publications - Canada.ca"
Savannah Sparrow,Passerculus sandwichensis,2010,Canadian Journal of Zoology,1980,"COSEWIC assessment and status report on the Savannah Sparrow, Passerculus sandwichensis, princeps subspecies, in Canada .: CW69-14/275-2010E-PDF Publications - Canada.ca"
Savannah Sparrow,Passerculus sandwichensis,2010,Physical Geography,1994,"COSEWIC assessment and status report on the Savannah Sparrow, Passerculus sandwichensis, princeps subspecies, in Canada .: CW69-14/275-2010E-PDF Publications - Canada.ca"
Savannah Sparrow,Passerculus sandwichensis,2010,Environmental Management,1977,"COSEWIC assessment and status report on the Savannah Sparrow, Passerculus sandwichensis, princeps subspecies, in Canada .: CW69-14/275-2010E-PDF Publications - Canada.ca"
Savannah Sparrow,Passerculus sandwichensis,2010,Coastal Management,1999,"COSEWIC assessment and status report on the Savannah Sparrow, Passerculus sandwichensis, princeps subspecies, in Canada .: CW69-14/275-2010E-PDF Publications - Canada.ca"
Savannah Sparrow,Passerculus sandwichensis,2010,Ornithological Monographs,2007,"COSEWIC assessment and status report on the Savannah Sparrow, Passerculus sandwichensis, princeps subspecies, in Canada .: CW69-14/275-2010E-PDF Publications - Canada.ca"
Savannah Sparrow,Passerculus sandwichensis,2010,The Canadian Geographer/Le Géographe canadien,1995,"COSEWIC assessment and status report on the Savannah Sparrow, Passerculus sandwichensis, princeps subspecies, in Canada .: CW69-14/275-2010E-PDF Publications - Canada.ca"
Savannah Sparrow,Passerculus sandwichensis,2010,The Auk,2006,"COSEWIC assessment and status report on the Savannah Sparrow, Passerculus sandwichensis, princeps subspecies, in Canada .: CW69-14/275-2010E-PDF Publications - Canada.ca"
Savannah Sparrow,Passerculus sandwichensis,2010,Coastal Management,2003,"COSEWIC assessment and status report on the Savannah Sparrow, Passerculus sandwichensis, princeps subspecies, in Canada .: CW69-14/275-2010E-PDF Publications - Canada.ca"
Savannah Sparrow,Passerculus sandwichensis,2010,Canadian Journal of Zoology,2003,"COSEWIC assessment and status report on the Savannah Sparrow, Passerculus sandwichensis, princeps subspecies, in Canada .: CW69-14/275-2010E-PDF Publications - Canada.ca"
Savannah Sparrow,Passerculus sandwichensis,2010,Bulletin of the United States National Museum,1968,"COSEWIC assessment and status report on the Savannah Sparrow, Passerculus sandwichensis, princeps subspecies, in Canada .: CW69-14/275-2010E-PDF Publications - Canada.ca"
Coast Manroot,Marah oreganus,2010,NA,1951,"COSEWIC assessment and status report on the Coast Manroot, Marah oreganus, in Canada .: CW69-14/595-2010E-PDF Publications - Canada.ca"
Coast Manroot,Marah oreganus,2010,Conservation Biology,1995,"COSEWIC assessment and status report on the Coast Manroot, Marah oreganus, in Canada .: CW69-14/595-2010E-PDF Publications - Canada.ca"
Coast Manroot,Marah oreganus,2010,Journal of Mammalogy,1938,"COSEWIC assessment and status report on the Coast Manroot, Marah oreganus, in Canada .: CW69-14/595-2010E-PDF Publications - Canada.ca"
Coast Manroot,Marah oreganus,2010,American Journal of Botany,1969,"COSEWIC assessment and status report on the Coast Manroot, Marah oreganus, in Canada .: CW69-14/595-2010E-PDF Publications - Canada.ca"
Coast Manroot,Marah oreganus,2010,Bulletin of the Torrey Botanical Club,1959,"COSEWIC assessment and status report on the Coast Manroot, Marah oreganus, in Canada .: CW69-14/595-2010E-PDF Publications - Canada.ca"
Coast Manroot,Marah oreganus,2010,Acta Horticulturae,1991,"COSEWIC assessment and status report on the Coast Manroot, Marah oreganus, in Canada .: CW69-14/595-2010E-PDF Publications - Canada.ca"
Coast Manroot,Marah oreganus,2010,Botanical Gazette,1877,"COSEWIC assessment and status report on the Coast Manroot, Marah oreganus, in Canada .: CW69-14/595-2010E-PDF Publications - Canada.ca"
Coast Manroot,Marah oreganus,2010,American Journal of Botany,1952,"COSEWIC assessment and status report on the Coast Manroot, Marah oreganus, in Canada .: CW69-14/595-2010E-PDF Publications - Canada.ca"
Coast Manroot,Marah oreganus,2010,Economic Botany,1971,"COSEWIC assessment and status report on the Coast Manroot, Marah oreganus, in Canada .: CW69-14/595-2010E-PDF Publications - Canada.ca"
American eel,Anguilla rostrata,2006,Federal Register,2005,"COSEWIC assessment and status report on the American eel, Anguilla rostrata, in Canada. Committee on the Status of Endangered Wildlife in Canada.: CW69-14/458-2006E-PDF Publications - Canada.ca"
American eel,Anguilla rostrata,2006,Environmental Biology of Fishes,1999,"COSEWIC assessment and status report on the American eel, Anguilla rostrata, in Canada. Committee on the Status of Endangered Wildlife in Canada.: CW69-14/458-2006E-PDF Publications - Canada.ca"
American eel,Anguilla rostrata,2006,Helgoländer Meeresuntersuchungen,1984,"COSEWIC assessment and status report on the American eel, Anguilla rostrata, in Canada. Committee on the Status of Endangered Wildlife in Canada.: CW69-14/458-2006E-PDF Publications - Canada.ca"
American eel,Anguilla rostrata,2006,Canadian Journal of Zoology,1987,"COSEWIC assessment and status report on the American eel, Anguilla rostrata, in Canada. Committee on the Status of Endangered Wildlife in Canada.: CW69-14/458-2006E-PDF Publications - Canada.ca"
American eel,Anguilla rostrata,2006,Ecological Engineering,2002,"COSEWIC assessment and status report on the American eel, Anguilla rostrata, in Canada. Committee on the Status of Endangered Wildlife in Canada.: CW69-14/458-2006E-PDF Publications - Canada.ca"
American eel,Anguilla rostrata,2006,Marine Biology,1996,"COSEWIC assessment and status report on the American eel, Anguilla rostrata, in Canada. Committee on the Status of Endangered Wildlife in Canada.: CW69-14/458-2006E-PDF Publications - Canada.ca"
American eel,Anguilla rostrata,2006,Journal of the Fisheries Research Board of Canada,1968,"COSEWIC assessment and status report on the American eel, Anguilla rostrata, in Canada. Committee on the Status of Endangered Wildlife in Canada.: CW69-14/458-2006E-PDF Publications - Canada.ca"
American eel,Anguilla rostrata,2006,Journal of Fish Biology,1995,"COSEWIC assessment and status report on the American eel, Anguilla rostrata, in Canada. Committee on the Status of Endangered Wildlife in Canada.: CW69-14/458-2006E-PDF Publications - Canada.ca"
American eel,Anguilla rostrata,2006,Naturwissenschaften,1990,"COSEWIC assessment and status report on the American eel, Anguilla rostrata, in Canada. Committee on the Status of Endangered Wildlife in Canada.: CW69-14/458-2006E-PDF Publications - Canada.ca"
American eel,Anguilla rostrata,2006,Journal of Marine Research,1988,"COSEWIC assessment and status report on the American eel, Anguilla rostrata, in Canada. Committee on the Status of Endangered Wildlife in Canada.: CW69-14/458-2006E-PDF Publications - Canada.ca"
American eel,Anguilla rostrata,2006,Journal of Fish Biology,2004,"COSEWIC assessment and status report on the American eel, Anguilla rostrata, in Canada. Committee on the Status of Endangered Wildlife in Canada.: CW69-14/458-2006E-PDF Publications - Canada.ca"
American eel,Anguilla rostrata,2006,Marine Ecology Progress Series,2004,"COSEWIC assessment and status report on the American eel, Anguilla rostrata, in Canada. Committee on the Status of Endangered Wildlife in Canada.: CW69-14/458-2006E-PDF Publications - Canada.ca"
American eel,Anguilla rostrata,2006,Marine Ecology Progress Series,2002,"COSEWIC assessment and status report on the American eel, Anguilla rostrata, in Canada. Committee on the Status of Endangered Wildlife in Canada.: CW69-14/458-2006E-PDF Publications - Canada.ca"
American eel,Anguilla rostrata,2006,Canadian Journal of Zoology,1998,"COSEWIC assessment and status report on the American eel, Anguilla rostrata, in Canada. Committee on the Status of Endangered Wildlife in Canada.: CW69-14/458-2006E-PDF Publications - Canada.ca"
American eel,Anguilla rostrata,2006,Fisheries,2000,"COSEWIC assessment and status report on the American eel, Anguilla rostrata, in Canada. Committee on the Status of Endangered Wildlife in Canada.: CW69-14/458-2006E-PDF Publications - Canada.ca"
American eel,Anguilla rostrata,2006,Transactions of the American Fisheries Society,1981,"COSEWIC assessment and status report on the American eel, Anguilla rostrata, in Canada. Committee on the Status of Endangered Wildlife in Canada.: CW69-14/458-2006E-PDF Publications - Canada.ca"
American eel,Anguilla rostrata,2006,Transactions of the American Fisheries Society,1988,"COSEWIC assessment and status report on the American eel, Anguilla rostrata, in Canada. Committee on the Status of Endangered Wildlife in Canada.: CW69-14/458-2006E-PDF Publications - Canada.ca"
American eel,Anguilla rostrata,2006,Proceedings of the Royal Society B: Biological Sciences,2005,"COSEWIC assessment and status report on the American eel, Anguilla rostrata, in Canada. Committee on the Status of Endangered Wildlife in Canada.: CW69-14/458-2006E-PDF Publications - Canada.ca"
American eel,Anguilla rostrata,2006,Journal of Plankton Research,1987,"COSEWIC assessment and status report on the American eel, Anguilla rostrata, in Canada. Committee on the Status of Endangered Wildlife in Canada.: CW69-14/458-2006E-PDF Publications - Canada.ca"
American eel,Anguilla rostrata,2006,Journal of Fish Biology,2000,"COSEWIC assessment and status report on the American eel, Anguilla rostrata, in Canada. Committee on the Status of Endangered Wildlife in Canada.: CW69-14/458-2006E-PDF Publications - Canada.ca"
American eel,Anguilla rostrata,2006,Canadian Journal of Fisheries and Aquatic Sciences,1994,"COSEWIC assessment and status report on the American eel, Anguilla rostrata, in Canada. Committee on the Status of Endangered Wildlife in Canada.: CW69-14/458-2006E-PDF Publications - Canada.ca"
American eel,Anguilla rostrata,2006,Molecular Phylogenetics and Evolution,2001,"COSEWIC assessment and status report on the American eel, Anguilla rostrata, in Canada. Committee on the Status of Endangered Wildlife in Canada.: CW69-14/458-2006E-PDF Publications - Canada.ca"
American eel,Anguilla rostrata,2006,Eel Biology,2003,"COSEWIC assessment and status report on the American eel, Anguilla rostrata, in Canada. Committee on the Status of Endangered Wildlife in Canada.: CW69-14/458-2006E-PDF Publications - Canada.ca"
